Date,Open,High,Low,Close,Adj Close,Volume
2019-12-11,86.260002,86.870003,85.849998,86.589996,81.991577,4921900
2019-12-12,88.000000,88.889999,87.540001,88.209999,83.525528,10282100
2019-12-13,88.019997,88.790001,87.580002,88.669998,83.961113,6714100
2019-12-16,89.139999,89.300003,88.430000,88.779999,84.065277,6705600
2019-12-17,88.870003,88.970001,87.470001,88.129997,83.449783,7296900
2019-12-18,88.389999,88.849998,87.820000,87.989998,83.317215,5859200
2019-12-19,87.830002,88.589996,87.580002,88.519997,83.819084,6022100
2019-12-20,88.790001,89.000000,87.889999,88.459999,83.762268,14271500
2019-12-23,88.620003,88.849998,88.180000,88.230003,83.544487,4349700
2019-12-24,88.199997,88.599998,88.000000,88.519997,83.819084,1847800
2019-12-26,88.730003,88.760002,87.790001,88.080002,83.402443,4177700
2019-12-27,88.110001,88.459999,87.690002,88.129997,83.449783,4129300
2019-12-30,88.010002,88.199997,87.059998,87.440002,82.796425,4655600
2019-12-31,87.440002,87.989998,87.309998,87.919998,83.250946,4115600
2020-01-02,88.120003,89.349998,88.050003,89.349998,84.605003,6473800
2020-01-03,88.660004,89.099998,88.099998,88.830002,84.112617,4874100
2020-01-06,88.110001,88.410004,87.470001,88.129997,83.449783,5409800
2020-01-07,87.959999,88.029999,87.129997,87.860001,83.194138,6514700
2020-01-08,87.940002,89.349998,87.779999,88.879997,84.159958,7296300
2020-01-09,90.250000,91.160004,90.070000,90.529999,85.722336,9443500
2020-01-10,90.800003,90.889999,89.629997,90.160004,85.371986,7097900
2020-01-13,90.620003,91.720001,90.209999,91.080002,86.243134,7382500
2020-01-14,91.190002,91.440002,90.860001,90.989998,86.157913,5855200
2020-01-15,91.000000,92.059998,91.000000,91.540001,86.678696,6145300
2020-01-16,91.989998,92.610001,91.629997,92.580002,87.663475,5180300
2020-01-17,92.930000,93.750000,92.809998,93.620003,88.648239,6962800
2020-01-21,92.830002,93.599998,92.190002,92.529999,87.616112,7094600
2020-01-22,93.139999,93.750000,92.470001,92.529999,87.616112,6157400
2020-01-23,91.919998,93.849998,90.739998,93.750000,88.771347,6100600
2020-01-24,94.000000,94.129997,91.339996,92.029999,87.142670,7815500
2020-01-27,88.629997,89.449997,87.550003,88.730003,84.017937,11066500
2020-01-28,89.050003,89.190002,87.720001,88.599998,83.894844,11922400
2020-01-29,88.150002,88.440002,85.599998,86.720001,82.114677,17678700
2020-01-30,85.449997,86.589996,84.690002,85.839996,81.281395,12224900
2020-01-31,85.790001,85.989998,84.519997,84.830002,80.325043,11693900
2020-02-03,85.070000,86.790001,85.070000,86.010002,81.442375,9090600
2020-02-04,87.139999,89.000000,86.620003,88.379997,83.686508,9997100
2020-02-05,88.879997,89.199997,86.629997,87.559998,83.296471,9982700
2020-02-06,87.650002,87.699997,86.150002,86.150002,81.955139,8901400
2020-02-07,85.760002,86.620003,85.320000,86.419998,82.211967,8073900
2020-02-10,86.430000,87.620003,86.169998,87.529999,83.267929,7289300
2020-02-11,87.860001,88.230003,87.349998,87.510002,83.248909,5098500
2020-02-12,87.709999,89.099998,87.389999,88.570000,84.257294,7747800
2020-02-13,88.500000,90.510002,88.260002,89.930000,85.551071,8576600
2020-02-14,90.180000,90.410004,88.989998,89.279999,84.932732,5686900
2020-02-18,89.370003,89.470001,88.290001,89.230003,84.885162,5288800
2020-02-19,89.489998,90.440002,89.300003,90.139999,85.750854,5210800
2020-02-20,89.730003,90.250000,87.730003,88.599998,84.285835,5969200
2020-02-21,88.000000,88.389999,87.000000,87.360001,83.106209,5800500
2020-02-24,84.529999,86.050003,84.260002,84.519997,80.404495,8313600
2020-02-25,85.019997,85.349998,81.669998,82.190002,78.187965,9404000
2020-02-26,82.599998,83.239998,80.639999,80.669998,76.741974,10541500
2020-02-27,78.830002,80.870003,77.360001,78.290001,74.477867,17120800
2020-02-28,76.169998,78.809998,75.720001,78.430000,74.611046,19108600
2020-03-02,77.919998,82.410004,77.660004,82.379997,78.368706,14258700
2020-03-03,82.300003,82.620003,78.110001,78.599998,74.772766,12395900
2020-03-04,79.290001,80.199997,77.879997,79.669998,75.790649,10999600
2020-03-05,77.900002,77.900002,75.279999,76.190002,72.480110,12545300
2020-03-06,73.459999,75.709999,72.050003,75.339996,71.671509,18080100
2020-03-09,70.580002,74.029999,70.080002,70.830002,67.381104,15930300
2020-03-10,72.559998,74.949997,70.029999,74.870003,71.224396,18414000
2020-03-11,72.830002,74.269997,67.400002,68.300003,64.974297,17138000
2020-03-12,62.950001,66.790001,61.459999,62.099998,59.076187,25170600
2020-03-13,65.650002,70.180000,63.509998,69.919998,66.515411,19247200
2020-03-16,60.630001,63.950001,58.110001,58.590000,55.737106,23354300
2020-03-17,59.549999,59.619999,53.610001,58.980000,56.108105,25045200
2020-03-18,55.549999,57.650002,50.020000,56.330002,53.587151,28770600
2020-03-19,56.230000,63.360001,53.549999,61.410000,58.419788,25167400
2020-03-20,62.299999,65.680000,57.910000,58.029999,55.204365,28420600
